Team,EPA/Play,Success %,EPA/Pass,EPA/Rush,Sack %,INT %,PA,Tot Yds,Tot 1stD,TO%,EXP
Denver Broncos,-0.13,38.60%,-0.16,-0.11,8.20%,2.40%,311.0,5293.0,322.0,13.0,44.68
Minnesota Vikings,-0.1,40.50%,-0.07,-0.17,6.80%,3.40%,301.0,5308.0,301.0,16.5,46.92
Philadelphia Eagles,-0.09,39%,-0.07,-0.13,7.10%,1.80%,290.0,4494.0,283.0,14.3,40.81
Houston Texans,-0.09,37.30%,-0.1,-0.07,7.80%,3.20%,358.0,5041.0,299.0,14.2,-3.91
Detroit Lions,-0.07,41.10%,-0.09,-0.05,5.50%,2.30%,333.0,5558.0,317.0,14.1,-44.56
Green Bay Packers,-0.06,43.90%,-0.05,-0.06,7.50%,2.80%,314.0,5123.0,311.0,16.1,5.34
Pittsburgh Steelers,-0.04,42.50%,-0.01,-0.09,6.60%,2.90%,328.0,5240.0,303.0,16.4,-10.93
Los Angeles Chargers,-0.04,41.70%,-0.04,-0.05,7.20%,2.40%,281.0,5250.0,295.0,11.7,-11.24
Indianapolis Colts,-0.02,42.90%,0.02,-0.08,6.10%,2.70%,404.0,5821.0,324.0,13.1,-69.99
San Francisco 49ers,-0.01,43.50%,-0.04,0.02,7%,2.20%,389.0,5003.0,294.0,9.6,-64.67
Baltimore Ravens,-0.01,39.60%,0.07,-0.12,7.40%,1.60%,351.0,5281.0,317.0,8.6,-53.62
Cleveland Browns,-0.01,40%,0.05,-0.07,7.30%,0.80%,400.0,5379.0,283.0,5.6,-47.76
Kansas City Chiefs,-0.01,40.90%,0.04,-0.08,5.90%,2.30%,288.0,4972.0,299.0,11.9,-23.35
Seattle Seahawks,-0.01,44.10%,0.01,-0.03,6.20%,2%,343.0,5253.0,309.0,9.2,-3.49
Miami Dolphins,0.0,43.60%,0.06,-0.07,5.70%,1.50%,332.0,4970.0,292.0,8.9,3.46
Buffalo Bills,0.0,43.60%,0.06,-0.09,6%,2.50%,345.0,5497.0,337.0,18.0,-51.47
New Orleans Saints,0.0,42%,-0.06,0.07,6.50%,2.30%,371.0,6064.0,334.0,9.2,-92.34
Washington Commanders,0.01,42.60%,0.05,-0.03,7.90%,1.20%,372.0,5180.0,312.0,9.3,-89.02
Tennessee Titans,0.01,42%,0.04,-0.01,5.90%,2.20%,437.0,4917.0,296.0,8.7,-82.41
Las Vegas Raiders,0.01,42.60%,0.08,-0.08,6%,1.50%,400.0,5190.0,297.0,7.5,-47.54
Chicago Bears,0.02,44.10%,0.04,0.01,6.70%,2.20%,348.0,5655.0,306.0,12.7,-56.37
Tampa Bay Buccaneers,0.02,45%,0.06,-0.05,6.20%,1.10%,366.0,5518.0,317.0,9.2,-75.73
Atlanta Falcons,0.02,44.80%,0.06,-0.04,4.60%,1.90%,379.0,5443.0,322.0,10.4,-60.49
New York Jets,0.02,42.40%,0.03,0.01,7.50%,1%,384.0,5000.0,326.0,6.7,-97.91
Los Angeles Rams,0.03,44.10%,0.07,-0.01,6.10%,2.10%,356.0,5667.0,324.0,11.3,-86.37
Cincinnati Bengals,0.03,46%,0.04,0.02,5.20%,2.40%,417.0,5728.0,345.0,13.4,-110.21
New York Giants,0.06,45.20%,0.1,0.03,8.30%,0.60%,395.0,5593.0,310.0,8.8,-94.83
Arizona Cardinals,0.06,47.40%,0.07,0.04,7.20%,1.30%,355.0,5387.0,318.0,8.4,-105.28
New England Patriots,0.06,44.70%,0.13,-0.02,5.40%,1.40%,401.0,5570.0,332.0,6.1,-139.76
Dallas Cowboys,0.06,44.30%,0.01,0.12,8.50%,2.40%,445.0,5770.0,324.0,11.6,-111.09
Carolina Panthers,0.11,48.40%,0.13,0.1,5.60%,1.50%,496.0,6340.0,386.0,8.6,-193.63
Jacksonville Jaguars,0.14,43.90%,0.25,0.01,4.90%,0.90%,409.0,6200.0,365.0,4.8,-157.21
