Team,EPA/Play,Success %,EPA/Pass,EPA/Rush,Sack %,INT %,PA,Tot Yds,Tot 1stD,TO%,EXP
Denver Broncos,112.91,111.1,118.44,107.19,124.48,122.29,117.55,101.97,98.02,119.57,174.67
Minnesota Vikings,109.62,105.89,108.66,113.63,103.23,173.25,121.46,101.68,104.86,151.77,176.31
Philadelphia Eagles,108.56,109.96,108.66,109.25,107.78,91.72,126.07,120.09,111.53,131.53,171.85
Houston Texans,108.56,114.97,111.73,103.3,118.41,163.06,102.12,107.06,105.56,130.61,139.21
Detroit Lions,106.52,104.34,110.69,101.45,83.49,117.2,109.79,97.1,99.57,129.69,109.54
Green Bay Packers,105.52,97.69,106.7,102.36,113.85,142.68,116.43,105.35,101.49,148.09,145.96
Pittsburgh Steelers,103.58,100.9,102.99,105.21,100.19,147.77,111.46,103.0,104.17,150.85,134.08
Los Angeles Chargers,103.58,102.84,105.75,101.45,109.3,122.29,130.1,102.8,106.99,107.62,133.86
Indianapolis Colts,101.72,99.96,100.37,104.24,92.6,137.58,90.49,92.72,97.42,120.49,90.97
San Francisco 49ers,100.81,98.58,105.75,95.48,106.26,112.1,93.98,107.88,107.36,88.3,94.86
Baltimore Ravens,100.81,108.29,96.29,108.21,112.33,81.53,104.16,102.2,99.57,79.1,102.92
Cleveland Browns,100.81,107.21,97.88,103.3,110.82,40.76,91.4,100.34,111.53,51.51,107.2
Kansas City Chiefs,100.81,104.85,98.7,104.24,89.56,117.2,126.94,108.55,105.56,109.46,125.02
Seattle Seahawks,100.81,97.24,101.23,99.67,94.12,101.91,106.59,102.74,102.14,84.62,139.51
Miami Dolphins,99.92,98.36,97.08,103.3,86.53,76.43,110.12,108.59,108.09,81.86,144.58
Buffalo Bills,99.92,98.36,97.08,105.21,91.08,127.39,105.97,98.18,93.66,165.56,104.49
New Orleans Saints,99.92,102.11,107.67,91.63,98.67,117.2,98.54,89.0,94.5,84.62,74.66
Washington Commanders,99.04,100.67,97.88,99.67,119.92,61.15,98.28,104.19,101.16,85.54,77.08
Tennessee Titans,99.04,102.11,98.7,97.95,89.56,112.1,83.66,109.76,106.63,80.02,81.91
Las Vegas Raiders,99.04,100.67,95.51,104.24,91.08,76.43,91.4,103.99,106.27,68.99,107.36
Chicago Bears,98.18,97.24,98.7,96.29,101.71,112.1,105.06,95.44,103.15,116.82,100.92
Tampa Bay Buccaneers,98.18,95.3,97.08,101.45,94.12,56.05,99.89,97.81,99.57,84.62,86.78
Atlanta Falcons,98.18,95.72,97.08,100.55,69.83,96.82,96.46,99.16,98.02,95.66,97.91
New York Jets,98.18,101.14,99.53,96.29,113.85,50.96,95.21,107.94,96.82,61.63,70.6
Los Angeles Rams,97.33,97.24,96.29,97.95,92.6,107.01,102.69,95.24,97.42,103.94,79.02
Cincinnati Bengals,97.33,93.23,98.7,95.48,78.94,122.29,87.67,94.22,91.49,123.25,61.62
New York Giants,94.88,94.88,94.0,94.69,126.0,30.57,92.56,96.5,101.81,80.94,72.84
Arizona Cardinals,94.88,90.47,96.29,93.9,109.3,66.24,102.98,100.19,99.25,77.26,65.22
New England Patriots,94.88,95.94,91.81,98.8,81.97,71.34,91.17,96.89,95.07,56.11,40.05
Dallas Cowboys,94.88,96.8,101.23,88.08,129.03,122.29,82.16,93.54,97.42,106.7,60.98
Carolina Panthers,91.05,88.6,91.81,89.47,85.01,76.43,73.71,85.13,81.77,79.1,0.73
Jacksonville Jaguars,88.9,97.69,84.0,96.29,74.38,45.86,89.39,87.05,86.47,44.15,27.31
