Team,EXP,EXP_Rank
Denver Broncos,174.67,2.0
Minnesota Vikings,176.31,1.0
Philadelphia Eagles,171.85,3.0
Houston Texans,139.21,7.0
Detroit Lions,109.54,11.0
Green Bay Packers,145.96,4.0
Pittsburgh Steelers,134.08,8.0
Los Angeles Chargers,133.86,9.0
Indianapolis Colts,90.97,19.0
San Francisco 49ers,94.86,18.0
Baltimore Ravens,102.92,15.0
Cleveland Browns,107.2,13.0
Kansas City Chiefs,125.02,10.0
Seattle Seahawks,139.51,6.0
Miami Dolphins,144.58,5.0
Buffalo Bills,104.49,14.0
New Orleans Saints,74.66,24.0
Washington Commanders,77.08,23.0
Tennessee Titans,81.91,21.0
Las Vegas Raiders,107.36,12.0
Chicago Bears,100.92,16.0
Tampa Bay Buccaneers,86.78,20.0
Atlanta Falcons,97.91,17.0
New York Jets,70.6,26.0
Los Angeles Rams,79.02,22.0
Cincinnati Bengals,61.62,28.0
New York Giants,72.84,25.0
Arizona Cardinals,65.22,27.0
New England Patriots,40.05,30.0
Dallas Cowboys,60.98,29.0
Carolina Panthers,0.73,32.0
Jacksonville Jaguars,27.31,31.0
