Team,Sack %,Sack %_Rank
Denver Broncos,124.48,3.0
Minnesota Vikings,103.23,14.0
Philadelphia Eagles,107.78,12.0
Houston Texans,118.41,5.0
Detroit Lions,83.49,28.0
Green Bay Packers,113.85,6.0
Pittsburgh Steelers,100.19,16.0
Los Angeles Chargers,109.3,10.0
Indianapolis Colts,92.6,20.0
San Francisco 49ers,106.26,13.0
Baltimore Ravens,112.33,8.0
Cleveland Browns,110.82,9.0
Kansas City Chiefs,89.56,24.0
Seattle Seahawks,94.12,18.0
Miami Dolphins,86.53,26.0
Buffalo Bills,91.08,22.0
New Orleans Saints,98.67,17.0
Washington Commanders,119.92,4.0
Tennessee Titans,89.56,24.0
Las Vegas Raiders,91.08,22.0
Chicago Bears,101.71,15.0
Tampa Bay Buccaneers,94.12,18.0
Atlanta Falcons,69.83,32.0
New York Jets,113.85,6.0
Los Angeles Rams,92.6,20.0
Cincinnati Bengals,78.94,30.0
New York Giants,126.0,2.0
Arizona Cardinals,109.3,10.0
New England Patriots,81.97,29.0
Dallas Cowboys,129.03,1.0
Carolina Panthers,85.01,27.0
Jacksonville Jaguars,74.38,31.0
