Team,Tot 1stD,Tot 1stD_Rank
Denver Broncos,98.02,21.0
Minnesota Vikings,104.86,10.0
Philadelphia Eagles,111.53,1.0
Houston Texans,105.56,8.0
Detroit Lions,99.57,17.0
Green Bay Packers,101.49,15.0
Pittsburgh Steelers,104.17,11.0
Los Angeles Chargers,106.99,5.0
Indianapolis Colts,97.42,23.0
San Francisco 49ers,107.36,4.0
Baltimore Ravens,99.57,17.0
Cleveland Browns,111.53,1.0
Kansas City Chiefs,105.56,8.0
Seattle Seahawks,102.14,13.0
Miami Dolphins,108.09,3.0
Buffalo Bills,93.66,29.0
New Orleans Saints,94.5,28.0
Washington Commanders,101.16,16.0
Tennessee Titans,106.63,6.0
Las Vegas Raiders,106.27,7.0
Chicago Bears,103.15,12.0
Tampa Bay Buccaneers,99.57,17.0
Atlanta Falcons,98.02,21.0
New York Jets,96.82,26.0
Los Angeles Rams,97.42,23.0
Cincinnati Bengals,91.49,30.0
New York Giants,101.81,14.0
Arizona Cardinals,99.25,20.0
New England Patriots,95.07,27.0
Dallas Cowboys,97.42,23.0
Carolina Panthers,81.77,32.0
Jacksonville Jaguars,86.47,31.0
