Team,EPA-Pass,EPA-Pass_Rank
Denver Broncos,118.44,1.0
Minnesota Vikings,108.66,4.0
Philadelphia Eagles,108.66,4.0
Houston Texans,111.73,2.0
Detroit Lions,110.69,3.0
Green Bay Packers,106.7,7.0
Pittsburgh Steelers,102.99,10.0
Los Angeles Chargers,105.75,8.0
Indianapolis Colts,100.37,13.0
San Francisco 49ers,105.75,8.0
Baltimore Ravens,96.29,25.0
Cleveland Browns,97.88,19.0
Kansas City Chiefs,98.7,15.0
Seattle Seahawks,101.23,11.0
Miami Dolphins,97.08,21.0
Buffalo Bills,97.08,21.0
New Orleans Saints,107.67,6.0
Washington Commanders,97.88,19.0
Tennessee Titans,98.7,15.0
Las Vegas Raiders,95.51,28.0
Chicago Bears,98.7,15.0
Tampa Bay Buccaneers,97.08,21.0
Atlanta Falcons,97.08,21.0
New York Jets,99.53,14.0
Los Angeles Rams,96.29,25.0
Cincinnati Bengals,98.7,15.0
New York Giants,94.0,29.0
Arizona Cardinals,96.29,25.0
New England Patriots,91.81,30.0
Dallas Cowboys,101.23,11.0
Carolina Panthers,91.81,30.0
Jacksonville Jaguars,84.0,32.0
