Team,EPA-Play,EPA-Play_Rank
Denver Broncos,112.91,1.0
Minnesota Vikings,109.62,2.0
Philadelphia Eagles,108.56,3.0
Houston Texans,108.56,3.0
Detroit Lions,106.52,5.0
Green Bay Packers,105.52,6.0
Pittsburgh Steelers,103.58,7.0
Los Angeles Chargers,103.58,7.0
Indianapolis Colts,101.72,9.0
San Francisco 49ers,100.81,10.0
Baltimore Ravens,100.81,10.0
Cleveland Browns,100.81,10.0
Kansas City Chiefs,100.81,10.0
Seattle Seahawks,100.81,10.0
Miami Dolphins,99.92,15.0
Buffalo Bills,99.92,15.0
New Orleans Saints,99.92,15.0
Washington Commanders,99.04,18.0
Tennessee Titans,99.04,18.0
Las Vegas Raiders,99.04,18.0
Chicago Bears,98.18,21.0
Tampa Bay Buccaneers,98.18,21.0
Atlanta Falcons,98.18,21.0
New York Jets,98.18,21.0
Los Angeles Rams,97.33,25.0
Cincinnati Bengals,97.33,25.0
New York Giants,94.88,27.0
Arizona Cardinals,94.88,27.0
New England Patriots,94.88,27.0
Dallas Cowboys,94.88,27.0
Carolina Panthers,91.05,31.0
Jacksonville Jaguars,88.9,32.0
