Player,win_pct,pass_atts,int,td,passing_yards,comp_pct,passer_rating,avg_epa,success_rate,total_wpa,qbr_total
Lamar Jackson,145.91,110.53,219.74,208.44,136.78,103.9,133.15,118.87,112.77,151.45,135.02
Josh Allen,171.29,121.63,146.49,149.65,129.04,97.79,110.28,119.65,110.64,165.87,132.77
Joe Burrow,105.73,152.67,109.87,224.47,160.51,106.96,119.35,110.33,112.77,189.71,132.77
Jared Goff,186.09,126.93,87.89,192.41,152.11,110.01,124.0,116.54,112.77,129.21,116.15
Patrick Mahomes,198.78,146.11,79.9,138.96,135.85,103.9,101.85,106.44,108.51,168.27,118.57
Baker Mayfield,118.42,135.51,58.6,208.44,147.99,110.01,116.98,110.33,112.77,118.39,102.82
Tua Tagovailoa,116.3,100.18,125.56,101.55,99.16,111.54,110.58,110.33,114.89,121.2,104.03
Jayden Daniels,145.91,117.59,97.66,133.61,122.09,106.96,110.29,111.1,106.38,154.45,125.32
Jalen Hurts,169.17,90.84,175.79,96.2,100.4,105.43,112.87,107.22,106.38,128.41,114.42
Kyler Murray,93.04,127.43,79.9,90.86,124.82,105.43,99.08,104.11,106.38,81.73,115.8
Brock Purdy,84.59,113.55,73.25,106.89,133.64,102.37,105.43,109.55,110.64,116.79,117.36
Jordan Love,135.34,104.22,79.9,133.61,114.82,96.26,105.65,108.77,104.26,111.58,120.13
Derek Carr,105.73,70.4,175.79,80.17,74.18,103.9,109.66,104.89,93.62,92.35,111.13
Sam Darnold,186.09,126.93,73.25,187.06,143.63,103.9,115.68,107.22,112.77,164.87,109.74
Bo Nix,118.42,135.51,73.25,133.61,119.46,99.32,97.05,96.34,93.62,82.53,93.65
Justin Herbert,131.11,117.59,292.98,112.24,121.88,99.32,108.88,104.11,97.87,116.39,106.97
Dak Prescott,80.36,71.66,109.87,58.79,68.41,99.32,93.97,93.23,93.62,98.76,79.8
Russell Wilson,126.88,76.46,175.79,80.17,80.72,99.32,106.37,97.12,93.62,84.14,91.74
Matthew Stafford,131.11,130.21,109.87,106.89,130.11,100.84,101.86,103.33,108.51,129.01,111.99
Aaron Rodgers,52.87,138.28,87.89,128.27,125.3,96.26,96.71,97.12,93.62,81.53,83.61
Geno Smith,118.42,138.54,58.6,90.86,141.7,106.96,98.63,97.89,102.13,107.58,91.22
Trevor Lawrence,42.29,71.41,125.56,58.79,70.73,93.2,92.8,96.34,95.74,70.92,101.61
Drake Maye,38.06,84.79,87.89,80.17,78.72,102.37,96.17,96.34,102.13,82.13,102.13
Joe Flacco,42.29,52.49,125.56,58.79,51.77,102.37,99.19,100.22,102.13,76.73,96.59
Mason Rudolph,42.29,54.51,97.66,48.1,50.49,97.79,87.28,97.89,106.38,81.53,
Jameis Winston,61.32,74.44,73.25,69.48,73.35,93.2,87.83,91.68,95.74,72.32,97.45
Kirk Cousins,105.73,113.3,54.93,96.2,121.32,102.37,97.04,99.45,106.38,111.18,89.67
Anthony Richardson,116.3,66.11,73.25,42.76,62.74,73.34,67.41,90.9,87.23,78.93,80.49
Gardner Minshew,46.52,76.46,87.89,48.1,69.62,102.37,88.74,87.02,97.87,55.49,65.6
Mac Jones,69.78,58.04,125.56,37.41,50.04,100.84,87.35,94.01,91.49,80.73,
Aidan O'Connell,69.78,52.49,292.98,32.07,48.35,94.73,93.12,96.34,95.74,80.73,
Daniel Jones,42.29,85.04,125.56,42.76,71.59,97.79,87.22,92.46,97.87,72.32,82.57
Caleb Williams,52.87,133.74,146.49,101.55,117.35,94.73,95.4,92.46,89.36,54.69,78.76
Cooper Rush,105.73,77.47,175.79,64.14,63.77,93.2,91.31,87.02,89.36,68.31,69.93
C.J. Stroud,118.42,132.48,73.25,101.55,127.17,96.26,93.56,93.23,89.36,84.54,84.82
Deshaun Watson,29.6,54.51,292.98,26.72,39.7,96.26,85.77,77.69,74.47,49.48,
Bryce Young,57.1,88.32,97.66,64.14,74.43,91.68,84.87,89.35,87.23,65.71,83.09
Will Levis,38.06,71.66,73.25,64.14,66.26,97.79,86.61,83.13,82.98,20.03,52.28
