Player,avg_epa,avg_epa_Rank
Lamar Jackson,118.87,2.0
Josh Allen,119.65,1.0
Joe Burrow,110.33,5.0
Jared Goff,116.54,3.0
Patrick Mahomes,106.44,12.0
Baker Mayfield,110.33,5.0
Tua Tagovailoa,110.33,5.0
Jayden Daniels,111.1,4.0
Jalen Hurts,107.22,10.0
Kyler Murray,104.11,14.0
Brock Purdy,109.55,8.0
Jordan Love,108.77,9.0
Derek Carr,104.89,13.0
Sam Darnold,107.22,10.0
Bo Nix,96.34,23.0
Justin Herbert,104.11,14.0
Dak Prescott,93.23,28.0
Russell Wilson,97.12,21.0
Matthew Stafford,103.33,16.0
Aaron Rodgers,97.12,21.0
Geno Smith,97.89,19.0
Trevor Lawrence,96.34,23.0
Drake Maye,96.34,23.0
Joe Flacco,100.22,17.0
Mason Rudolph,97.89,19.0
Jameis Winston,91.68,32.0
Kirk Cousins,99.45,18.0
Anthony Richardson,90.9,33.0
Gardner Minshew,87.02,35.0
Mac Jones,94.01,27.0
Aidan O'Connell,96.34,23.0
Daniel Jones,92.46,30.0
Caleb Williams,92.46,30.0
Cooper Rush,87.02,35.0
C.J. Stroud,93.23,28.0
Deshaun Watson,77.69,38.0
Bryce Young,89.35,34.0
Will Levis,83.13,37.0
