Player,comp_pct,comp_pct_Rank
Lamar Jackson,103.9,9.0
Josh Allen,97.79,24.0
Joe Burrow,106.96,4.0
Jared Goff,110.01,2.0
Patrick Mahomes,103.9,9.0
Baker Mayfield,110.01,2.0
Tua Tagovailoa,111.54,1.0
Jayden Daniels,106.96,4.0
Jalen Hurts,105.43,7.0
Kyler Murray,105.43,7.0
Brock Purdy,102.37,13.0
Jordan Love,96.26,28.0
Derek Carr,103.9,9.0
Sam Darnold,103.9,9.0
Bo Nix,99.32,20.0
Justin Herbert,99.32,20.0
Dak Prescott,99.32,20.0
Russell Wilson,99.32,20.0
Matthew Stafford,100.84,18.0
Aaron Rodgers,96.26,28.0
Geno Smith,106.96,4.0
Trevor Lawrence,93.2,34.0
Drake Maye,102.37,13.0
Joe Flacco,102.37,13.0
Mason Rudolph,97.79,24.0
Jameis Winston,93.2,34.0
Kirk Cousins,102.37,13.0
Anthony Richardson,73.34,38.0
Gardner Minshew,102.37,13.0
Mac Jones,100.84,18.0
Aidan O'Connell,94.73,32.0
Daniel Jones,97.79,24.0
Caleb Williams,94.73,32.0
Cooper Rush,93.2,34.0
C.J. Stroud,96.26,28.0
Deshaun Watson,96.26,28.0
Bryce Young,91.68,37.0
Will Levis,97.79,24.0
