Player,int,int_Rank
Lamar Jackson,219.74,4.0
Josh Allen,146.49,9.0
Joe Burrow,109.87,16.0
Jared Goff,87.89,22.0
Patrick Mahomes,79.9,26.0
Baker Mayfield,58.6,36.0
Tua Tagovailoa,125.56,11.0
Jayden Daniels,97.66,19.0
Jalen Hurts,175.79,5.0
Kyler Murray,79.9,26.0
Brock Purdy,73.25,29.0
Jordan Love,79.9,26.0
Derek Carr,175.79,5.0
Sam Darnold,73.25,29.0
Bo Nix,73.25,29.0
Justin Herbert,292.98,1.0
Dak Prescott,109.87,16.0
Russell Wilson,175.79,5.0
Matthew Stafford,109.87,16.0
Aaron Rodgers,87.89,22.0
Geno Smith,58.6,36.0
Trevor Lawrence,125.56,11.0
Drake Maye,87.89,22.0
Joe Flacco,125.56,11.0
Mason Rudolph,97.66,19.0
Jameis Winston,73.25,29.0
Kirk Cousins,54.93,38.0
Anthony Richardson,73.25,29.0
Gardner Minshew,87.89,22.0
Mac Jones,125.56,11.0
Aidan O'Connell,292.98,1.0
Daniel Jones,125.56,11.0
Caleb Williams,146.49,9.0
Cooper Rush,175.79,5.0
C.J. Stroud,73.25,29.0
Deshaun Watson,292.98,1.0
Bryce Young,97.66,19.0
Will Levis,73.25,29.0
