Player,passer_rating,passer_rating_Rank
Lamar Jackson,133.15,1.0
Josh Allen,110.28,9.0
Joe Burrow,119.35,3.0
Jared Goff,124.0,2.0
Patrick Mahomes,101.85,16.0
Baker Mayfield,116.98,4.0
Tua Tagovailoa,110.58,7.0
Jayden Daniels,110.29,8.0
Jalen Hurts,112.87,6.0
Kyler Murray,99.08,18.0
Brock Purdy,105.43,14.0
Jordan Love,105.65,13.0
Derek Carr,109.66,10.0
Sam Darnold,115.68,5.0
Bo Nix,97.05,20.0
Justin Herbert,108.88,11.0
Dak Prescott,93.97,25.0
Russell Wilson,106.37,12.0
Matthew Stafford,101.86,15.0
Aaron Rodgers,96.71,22.0
Geno Smith,98.63,19.0
Trevor Lawrence,92.8,28.0
Drake Maye,96.17,23.0
Joe Flacco,99.19,17.0
Mason Rudolph,87.28,33.0
Jameis Winston,87.83,31.0
Kirk Cousins,97.04,21.0
Anthony Richardson,67.41,38.0
Gardner Minshew,88.74,30.0
Mac Jones,87.35,32.0
Aidan O'Connell,93.12,27.0
Daniel Jones,87.22,34.0
Caleb Williams,95.4,24.0
Cooper Rush,91.31,29.0
C.J. Stroud,93.56,26.0
Deshaun Watson,85.77,36.0
Bryce Young,84.87,37.0
Will Levis,86.61,35.0
