Player,total_wpa,total_wpa_Rank
Lamar Jackson,151.45,6.0
Josh Allen,165.87,3.0
Joe Burrow,189.71,1.0
Jared Goff,129.21,7.0
Patrick Mahomes,168.27,2.0
Baker Mayfield,118.39,11.0
Tua Tagovailoa,121.2,10.0
Jayden Daniels,154.45,5.0
Jalen Hurts,128.41,9.0
Kyler Murray,81.73,23.0
Brock Purdy,116.79,12.0
Jordan Love,111.58,14.0
Derek Carr,92.35,18.0
Sam Darnold,164.87,4.0
Bo Nix,82.53,21.0
Justin Herbert,116.39,13.0
Dak Prescott,98.76,17.0
Russell Wilson,84.14,20.0
Matthew Stafford,129.01,8.0
Aaron Rodgers,81.53,24.0
Geno Smith,107.58,16.0
Trevor Lawrence,70.92,32.0
Drake Maye,82.13,22.0
Joe Flacco,76.73,29.0
Mason Rudolph,81.53,24.0
Jameis Winston,72.32,30.0
Kirk Cousins,111.18,15.0
Anthony Richardson,78.93,28.0
Gardner Minshew,55.49,35.0
Mac Jones,80.73,26.0
Aidan O'Connell,80.73,26.0
Daniel Jones,72.32,30.0
Caleb Williams,54.69,36.0
Cooper Rush,68.31,33.0
C.J. Stroud,84.54,19.0
Deshaun Watson,49.48,37.0
Bryce Young,65.71,34.0
Will Levis,20.03,38.0
