Name,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per carry,Yards After Contact,Avg. Box Defenders,Success %,TFL %,Explosive %,First Down %
1. Saquon Barkley,RB,345,0.1,32.8,2005,13,5.81,2.58,5.92,39.40%,8.70%,11.30%,21.20%
2. Kyren Williams,RB,316,-0.07,-22.7,1299,14,4.11,2.35,6.22,42.40%,8.50%,6.60%,26.60%
3. Derrick Henry,RB,305,0.12,36.43,1783,14,5.85,3.39,6.61,48.20%,7.50%,12.50%,29.20%
4. Josh Jacobs,RB,295,-0.06,-17.86,1285,14,4.36,2.79,6.18,36.30%,9.50%,8.80%,22.00%
5. Bijan Robinson,RB,276,0.01,2.7,1286,12,4.66,2.69,5.99,42.80%,7.60%,8.00%,22.10%
6. Jonathan Taylor,RB,269,-0.08,-21.98,1254,10,4.66,2.26,5.8,29.40%,8.60%,8.90%,19.30%
7. Najee Harris,RB,251,-0.06,-15.08,1007,5,4.01,2.68,6.71,35.50%,8%,8.80%,18.30%
8. Chuba Hubbard,RB,250,0.04,9.7,1195,10,4.78,2.95,6.5,44.40%,6%,10.00%,24.80%
9. Aaron Jones,RB,245,-0.05,-12.39,1093,5,4.46,2.43,6.28,38%,7.80%,8.20%,18.80%
10. Joe Mixon,RB,240,-0.06,-14.47,993,11,4.14,2.57,6.79,33.80%,14.60%,8.80%,21%
11. Tony Pollard,RB,238,-0.09,-21.79,1017,5,4.27,2.76,6.6,35.30%,9.20%,9.70%,21.00%
12. James Conner,RB,236,0.02,5.83,1094,8,4.64,3,6.28,42.40%,8.90%,11.40%,28.00%
13. D'Andre Swift,RB,233,-0.15,-35.53,894,5,3.84,2.17,6.1,30.90%,12%,5.60%,15.90%
14. Chase Brown,RB,229,0,0.14,990,7,4.32,2.44,6.03,35.40%,7.90%,8.70%,20.10%
15. Alvin Kamara,RB,228,-0.08,-18.17,950,6,4.17,2.35,6.66,39.90%,12.70%,9.60%,22.80%
16. Jahmyr Gibbs,RB,227,0.13,29.67,1273,13,5.61,2.7,5.88,41%,6.20%,14.50%,25%
17. Rico Dowdle,RB,213,-0.02,-4.49,1007,1,4.73,2.61,5.62,40.40%,6.60%,9%,20.20%
18. Rhamondre Stevenson,RB,207,-0.18,-36.8,801,7,3.87,2.69,6.57,35.30%,9.20%,9.20%,19.30%
19. Kareem Hunt,RB,200,0.01,2.15,728,7,3.64,2.11,6.52,44%,5.50%,4.50%,21.00%
20. James Cook,RB,197,0.06,11.62,981,15,4.98,2.51,6.03,37.60%,9.10%,10.20%,22%
21. Breece Hall,RB,197,-0.11,-20.74,819,5,4.16,2.62,6.08,34%,9.10%,9.10%,16.80%
22. Devon Achane,RB,192,-0.06,-10.77,786,5,4.09,2.28,6.22,40.60%,15.60%,8.30%,16.70%
23. Bucky Irving,RB,188,0.08,15.65,1033,7,5.49,3.22,5.7,39.40%,5.90%,10.10%,22.90%
24. David Montgomery,RB,185,-0.04,-7.88,775,12,4.19,2.92,6.43,48.10%,7%,8.60%,27.00%
25. Brian Robinson,RB,182,-0.05,-9.57,789,8,4.34,2.66,5.62,40.10%,8.80%,6.60%,23.60%
26. Tyrone Tracy,RB,178,-0.04,-7.49,780,5,4.38,2.53,5.62,32.60%,3.90%,7.30%,20.20%
27. J.K. Dobbins,RB,177,0.03,4.87,842,9,4.76,2.59,5.8,31.10%,9%,13.00%,22.00%
28. Tank Bigsby,RB,154,0.01,1.84,727,6,4.72,3.34,6.01,35.70%,7.10%,9.70%,22.10%
29. Jordan Mason,RB,153,-0.04,-5.44,789,3,5.16,3.32,6.46,39.90%,9.80%,13.70%,24.20%
30. Kenneth Walker,RB,153,-0.08,-12.14,573,7,3.75,2.92,6.16,41.20%,13.10%,7%,18.30%
31. Rachaad White,RB,144,-0.11,-15.96,613,3,4.26,2.63,6.22,43.10%,11.10%,7.60%,22.20%
32. Travis Etienne,RB,137,-0.14,-19.6,527,2,3.85,2.27,5.89,35%,10.90%,8.80%,19.00%
33. Javonte Williams,RB,134,-0.19,-25.67,485,4,3.62,2.41,6.46,34.30%,12.70%,7.50%,20.90%
34. Tyler Allgeier,RB,128,0,0.46,592,3,4.63,2.83,6.22,44.50%,8.60%,10.90%,29.70%
35. Alexander Mattison,RB,126,-0.2,-25.42,400,4,3.17,1.8,5.81,29.40%,11.90%,4.80%,18.30%
36. Zach Charbonnet,RB,121,-0.06,-7.64,510,8,4.21,2.84,5.41,31.40%,9.10%,9.90%,22.30%
37. Jaylen Warren,RB,114,-0.1,-11.37,490,1,4.3,2.86,6.56,36.80%,10.50%,10.50%,24.60%
38. Antonio Gibson,RB,108,-0.03,-3.42,497,1,4.6,3.26,5.73,30.60%,9.30%,8.30%,18.50%
39. Devin Singletary,RB,106,-0.11,-11.21,415,4,3.92,2.53,6.01,35.80%,5.70%,6.60%,19.80%
40. Jerome Ford,RB,104,0.07,7.23,565,3,5.43,3.13,5.86,38.50%,8.70%,10.60%,23.10%
41. Nick Chubb,RB,102,-0.2,-20.57,332,3,3.25,1.97,6.52,34.30%,10.80%,3.90%,16.70%
42. Gus Edwards,RB,101,-0.13,-13.12,365,4,3.61,2.63,6.57,40.60%,5.90%,3%,16.80%
43. Ray Davis,RB,98,0,-0.39,378,3,3.86,2.52,6.33,38.80%,8.20%,8.20%,22.40%
44. Cam Akers,RB,98,-0.19,-18.68,379,2,3.87,2.32,6.23,30.60%,16.30%,14.30%,19.40%
45. Jaleel McLaughlin,RB,97,0.01,1.15,457,1,4.71,1.95,5.86,40.20%,10.30%,9.30%,18.60%
46. Emanuel Wilson,RB,89,0.05,4.31,429,3,4.82,2.6,6.15,47.20%,5.60%,10.10%,23.60%
47. Braelon Allen,RB,88,-0.07,-6.41,319,2,3.63,2.45,5.88,40.90%,6.80%,4.50%,20.50%
48. Raheem Mostert,RB,85,-0.31,-26.41,278,2,3.27,2.29,5.99,29.40%,12.90%,10.60%,15.30%
49. Tyjae Spears,RB,84,-0.05,-4.44,312,4,3.71,1.98,4.83,27.40%,9.50%,3.60%,15.50%
50. Isiah Pacheco,RB,83,-0.16,-13.67,310,1,3.73,2.2,6.31,37.30%,6%,2.40%,16.90%
51. Isaac Guerendo,RB,82,0.08,6.51,415,4,5.06,2.3,6.01,34.10%,7.30%,8.50%,18.30%
52. Zack Moss,RB,74,-0.27,-19.99,242,2,3.27,2.24,6.77,25.70%,8.10%,5.40%,17.60%
53. Ezekiel Elliott,RB,74,-0.2,-14.57,226,3,3.05,2.08,6.11,32.40%,6.80%,1.40%,18.90%
54. Austin Ekeler,RB,74,0.06,4.57,355,4,4.8,1.85,6.46,43.20%,8.10%,6.80%,24.30%
55. Ameer Abdullah,RB,66,-0.19,-12.33,311,2,4.71,1.11,4.38,24.20%,4.50%,3%,13.60%
56. Zamir White,RB,65,-0.56,-36.29,183,1,2.82,2.11,6.65,16.90%,6.20%,3.10%,6.20%
57. Audric Estime,RB,64,-0.08,-5.02,276,1,4.31,2.91,5.64,35.90%,6.30%,6.30%,15.60%
58. Kenneth Gainwell,RB,64,-0.06,-4.03,276,1,4.31,2.45,6.3,25%,3.10%,15.60%,18.80%
59. Trey Benson,RB,63,-0.08,-4.97,291,1,4.62,3.05,6.19,36.50%,6.30%,9.50%,25.40%
60. Jaylen Wright,RB,62,-0.27,-16.75,253,0,4.08,2.85,6.4,37.10%,19.40%,11.30%,16.10%
61. D'Onta Foreman,RB,61,-0.29,-17.9,205,0,3.36,1.38,5.33,19.70%,3.30%,3.30%,11.50%
62. Ty Chandler,RB,56,-0.16,-8.76,182,0,3.25,1.55,5.91,33.90%,7.10%,5.40%,14.30%
63. Blake Corum,RB,56,-0.12,-6.48,197,0,3.52,2.3,6.02,35.70%,5.40%,3.60%,21.40%
64. Trey Sermon,RB,56,-0.2,-11.24,159,2,2.84,2.04,6.48,32.10%,12.50%,7.10%,25%
65. Jeremy McNichols,RB,55,0.15,8.19,261,4,4.75,2.87,6.15,50.90%,10.90%,9.10%,27.30%
66. Roschon Johnson,RB,53,-0.02,-1.12,147,6,2.77,1.92,6.28,45.30%,3.80%,0%,30.20%
67. Christian McCaffrey,RB,50,-0.06,-2.89,202,0,4.04,2.12,6.4,40%,10%,12%,24%
68. Sean Tucker,RB,48,0.17,8.35,292,2,6.08,2.19,5.63,35.40%,2.10%,14.60%,29.20%
69. Carson Steele,RB,48,-0.21,-9.85,158,0,3.29,2.1,6.58,54.20%,8.30%,0%,29.20%
70. Justice Hill,RB,47,0.01,0.67,228,1,4.85,2.72,6.47,42.60%,10.60%,14.90%,31.90%
71. Kimani Vidal,RB,43,-0.2,-8.43,155,0,3.6,2.12,5.67,20.90%,7%,4.70%,14%
72. Deebo Samuel,RB,42,-0.23,-9.6,136,1,3.24,2.14,5.86,33.30%,11.90%,4.80%,9.50%
73. Jamaal Williams,RB,40,-0.22,-8.67,149,1,3.73,2.25,6.2,32.50%,12.50%,7.50%,22.50%
74. Sincere McCormick,RB,39,0.01,0.45,183,0,4.69,3,6.67,51.30%,12.80%,15.40%,25.60%
75. Kendre Miller,RB,39,-0.06,-2.16,148,1,3.79,2.97,6.03,46.20%,17.90%,10.30%,28.20%
76. Ty Johnson,RB,39,0.04,1.6,200,1,5.13,2.36,5.92,51.30%,12.80%,15.40%,28.20%
77. Taysom Hill,TE,39,0.61,23.95,278,6,7.13,3.49,6.62,59%,2.60%,10.30%,46.20%
78. Miles Sanders,RB,38,-0.19,-7.26,139,1,3.66,2.58,6.37,42.10%,13.20%,5.30%,23.70%
79. Chris Rodriguez,RB,35,0.18,6.3,173,2,4.94,2.83,5.29,48.60%,2.90%,8.60%,22.90%
80. Tyler Goodson,RB,32,0.08,2.69,153,1,4.78,1.78,6.5,34.40%,9.40%,9.40%,18.80%
81. Cordarrelle Patterson,RB,31,-0.24,-7.3,134,0,4.32,3.55,6.35,41.90%,9.70%,16.10%,22.60%
82. D'Ernest Johnson,RB,30,0.01,0.25,117,0,3.9,2.77,6.43,33.30%,10%,6.70%,20%
83. Christopher Brooks,RB,28,0.11,3.09,124,1,4.43,3.25,6.25,46.40%,3.60%,7.10%,32.10%
84. Dare Ogunbowale,RB,28,-0.19,-5.25,115,0,4.11,2.21,6.61,32.10%,17.90%,7.10%,17.90%
85. Isaiah Davis,RB,26,-0.02,-0.57,133,1,5.12,2.23,5.46,34.60%,7.70%,11.50%,23.10%
86. Pierre Strong,RB,26,-0.1,-2.63,108,0,4.15,1.23,4.92,26.90%,3.80%,3.80%,15.40%
87. Kenny McIntosh,RB,24,-0.09,-2.17,123,0,5.13,2.04,4.25,20.80%,0%,4.20%,20.80%
88. Emari Demercado,RB,24,0.52,12.36,223,1,9.29,7,5.92,50%,4.20%,25%,33.30%
89. Craig Reynolds,RB,23,-0.09,-2.11,100,0,4.35,1.83,4.52,26.10%,8.70%,8.70%,17.40%
90. Hassan Haskins,RB,22,-0.26,-5.82,56,1,2.55,1,4.86,27.30%,0%,0%,27.30%
91. Patrick Taylor,RB,22,-0.02,-0.46,74,1,3.36,1.77,6.86,45.50%,0%,0%,13.60%
92. Dameon Pierce,RB,21,0.02,0.49,117,1,5.57,5.14,6.67,28.60%,0%,9.50%,9.50%
93. Jamycal Hasty,RB,20,-0.05,-1.01,69,0,3.45,2.45,5.85,50%,10%,5%,20%
94. Julius Chestnut,RB,20,-0.24,-4.71,91,0,4.55,2.45,6.05,30%,10%,5%,5%
95. Will Shipley,RB,20,-0.25,-4.98,50,0,2.5,2.7,6.45,20%,5%,0%,5%
96. Xavier Worthy,WR,20,0.15,2.96,104,3,5.2,2.55,6.45,60%,5%,10%,20%
97. Samaje Perine,RB,19,-0.01,-0.22,91,1,4.79,1.95,6,47.40%,0%,10.50%,36.80%
98. Michael Carter,RB,18,0.05,0.86,88,0,4.89,0.83,1.89,11.10%,0%,0%,5.60%
99. Jordan Mims,RB,18,-0.27,-4.81,58,0,3.22,2.06,6.83,22.20%,11.10%,0%,5.60%
100. Jayden Reed,WR,17,0.38,6.5,160,1,9.41,3.47,6.53,58.80%,5.90%,41.20%,41.20%
101. Khalil Herbert,RB,16,0.23,3.62,61,1,3.81,1.5,5.44,37.50%,0%,6.30%,25%
