Name,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per carry,Yards After Contact,TFL %,Explosive %,First Down %,Team,G,GS,1D,Y/G
Saquon Barkley,RB,345,0.1,32.8,2005,13,5.81,2.58,8.70%,11.30%,21.20%,PHI,16,16,82,125.3
Kyren Williams,RB,316,-0.07,-22.7,1299,14,4.11,2.35,8.50%,6.60%,26.60%,LAR,16,16,85,81.2
Derrick Henry,RB,305,0.12,36.43,1783,14,5.85,3.39,7.50%,12.50%,29.20%,BAL,16,16,89,111.4
Josh Jacobs,RB,295,-0.06,-17.86,1285,14,4.36,2.79,9.50%,8.80%,22.00%,GNB,16,16,68,80.3
Bijan Robinson,RB,276,0.01,2.7,1286,12,4.66,2.69,7.60%,8.00%,22.10%,ATL,16,16,67,80.4
Jonathan Taylor,RB,269,-0.08,-21.98,1254,10,4.66,2.26,8.60%,8.90%,19.30%,IND,13,12,59,96.5
Najee Harris,RB,251,-0.06,-15.08,1007,5,4.01,2.68,8%,8.80%,18.30%,PIT,16,16,46,62.9
Chuba Hubbard,RB,250,0.04,9.7,1195,10,4.78,2.95,6%,10.00%,24.80%,CAR,15,15,62,79.7
Aaron Jones,RB,245,-0.05,-12.39,1093,5,4.46,2.43,7.80%,8.20%,18.80%,MIN,16,16,48,68.3
Joe Mixon,RB,240,-0.06,-14.47,993,11,4.14,2.57,14.60%,8.80%,21%,HOU,13,13,50,76.4
Tony Pollard,RB,238,-0.09,-21.79,1017,5,4.27,2.76,9.20%,9.70%,21.00%,TEN,15,15,50,67.8
James Conner,RB,236,0.02,5.83,1094,8,4.64,3.0,8.90%,11.40%,28.00%,ARI,16,16,67,68.4
D'Andre Swift,RB,233,-0.15,-35.53,894,5,3.84,2.17,12%,5.60%,15.90%,CHI,16,16,39,55.9
Chase Brown,RB,229,0.0,0.14,990,7,4.32,2.44,7.90%,8.70%,20.10%,CIN,16,10,49,61.9
Alvin Kamara,RB,228,-0.08,-18.17,950,6,4.17,2.35,12.70%,9.60%,22.80%,NOR,14,14,52,67.9
Jahmyr Gibbs,RB,227,0.13,29.67,1273,13,5.61,2.7,6.20%,14.50%,25%,DET,16,3,62,79.6
Rico Dowdle,RB,213,-0.02,-4.49,1007,1,4.73,2.61,6.60%,9%,20.20%,DAL,15,14,49,67.1
Rhamondre Stevenson,RB,207,-0.18,-36.8,801,7,3.87,2.69,9.20%,9.20%,19.30%,NWE,15,14,40,53.4
Kareem Hunt,RB,200,0.01,2.15,728,7,3.64,2.11,5.50%,4.50%,21.00%,KAN,13,8,42,56.0
James Cook,RB,197,0.06,11.62,981,15,4.98,2.51,9.10%,10.20%,22%,BUF,15,15,46,65.4
Breece Hall,RB,197,-0.11,-20.74,819,5,4.16,2.62,9.10%,9.10%,16.80%,NYJ,15,15,37,54.6
