Name,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Y/A,Y/G
Saquon Barkley,PHI,RB,16,16,345,2005,13,82,52.5,5.8,125.3
Kyren Williams,LAR,RB,16,16,316,1299,14,85,50.9,4.1,81.2
Derrick Henry,BAL,RB,16,16,305,1783,14,89,59.0,5.8,111.4
Josh Jacobs,GNB,RB,16,16,295,1285,14,68,51.5,4.4,80.3
Bijan Robinson,ATL,RB,16,16,276,1286,12,67,57.6,4.7,80.4
Jonathan Taylor,IND,RB,13,12,269,1254,10,59,42.4,4.7,96.5
Najee Harris,PIT,RB,16,16,251,1007,5,46,43.8,4.0,62.9
Chuba Hubbard,CAR,RB,15,15,250,1195,10,62,54.8,4.8,79.7
Aaron Jones,MIN,RB,16,16,245,1093,5,48,49.8,4.5,68.3
Joe Mixon,HOU,RB,13,13,240,993,11,50,41.7,4.1,76.4
Tony Pollard,TEN,RB,15,15,238,1017,5,50,47.9,4.3,67.8
James Conner,ARI,RB,16,16,236,1094,8,67,51.7,4.6,68.4
D'Andre Swift,CHI,RB,16,16,233,894,5,39,43.8,3.8,55.9
Chase Brown,CIN,RB,16,10,229,990,7,49,52.4,4.3,61.9
Alvin Kamara,NOR,RB,14,14,228,950,6,52,51.3,4.2,67.9
Jahmyr Gibbs,DET,RB,16,3,227,1273,13,62,54.2,5.6,79.6
Rico Dowdle,DAL,RB,15,14,213,1007,1,49,54.5,4.7,67.1
Rhamondre Stevenson,NWE,RB,15,14,207,801,7,40,50.2,3.9,53.4
Kareem Hunt,KAN,RB,13,8,200,728,7,42,55.5,3.6,56.0
James Cook,BUF,RB,15,15,197,981,15,46,52.3,5.0,65.4
Breece Hall,NYJ,RB,15,15,197,819,5,37,46.7,4.2,54.6
De'Von Achane,MIA,RB,16,15,192,786,5,33,49.5,4.1,49.1
Bucky Irving,TAM,RB,16,2,188,1033,7,50,55.3,5.5,64.6
David Montgomery,DET,RB,14,14,185,775,12,50,55.1,4.2,55.4
Brian Robinson Jr.,WAS,RB,13,12,182,789,8,47,49.5,4.3,60.7
Tyrone Tracy Jr.,NYG,RB,16,11,178,780,5,37,45.5,4.4,48.8
J.K. Dobbins,LAC,RB,12,10,177,842,9,43,41.2,4.8,70.2
Tank Bigsby,JAX,RB,15,1,154,727,6,36,49.4,4.7,48.5
Jordan Mason,SFO,RB,12,6,153,789,3,37,47.1,5.2,65.8
Kenneth Walker III,SEA,RB,11,11,153,573,7,28,44.4,3.7,52.1
Jalen Hurts,PHI,QB,15,15,150,630,14,62,55.3,4.2,42.0
Jayden Daniels,WAS,QB,16,16,144,864,6,53,63.2,6.0,54.0
Rachaad White,TAM,RB,15,15,144,613,3,35,50.7,4.3,40.9
Travis Etienne,JAX,RB,14,14,137,527,2,28,45.3,3.8,37.6
Javonte Williams,DEN,RB,16,11,134,485,4,28,45.5,3.6,30.3
Lamar Jackson,BAL,QB,16,16,130,852,4,44,55.4,6.6,53.3
Tyler Allgeier,ATL,RB,16,0,128,592,3,39,56.3,4.6,37.0
Alexander Mattison,LVR,RB,13,6,126,400,4,24,34.9,3.2,30.8
Zach Charbonnet,SEA,RB,16,5,121,510,8,30,45.5,4.2,31.9
Jaylen Warren,PIT,RB,14,0,114,490,1,28,50.0,4.3,35.0
Antonio Gibson,NWE,RB,16,2,108,497,1,23,44.4,4.6,31.1
Devin Singletary,NYG,RB,14,5,106,415,4,22,47.2,3.9,29.6
Jerome Ford,CLE,RB,14,6,104,565,3,25,47.1,5.4,40.4
Josh Allen,BUF,QB,16,16,102,531,12,52,64.7,5.2,33.2
Nick Chubb,CLE,RB,8,8,102,332,3,17,41.2,3.3,41.5
Gus Edwards,LAC,RB,11,6,101,365,4,17,49.5,3.6,33.2
Ray Davis,BUF,RB,16,0,98,378,3,22,44.9,3.9,23.6
Cam Akers,2TM,RB,16,2,98,379,2,20,38.8,3.9,23.7
Cam Akers,HOU,RB,5,2,40,147,1,5,30.0,3.7,29.4
Cam Akers,MIN,RB,11,0,58,232,1,15,44.8,4.0,21.1
Jaleel McLaughlin,DEN,RB,15,4,97,457,1,22,50.5,4.7,30.5
Emanuel Wilson,GNB,RB,16,0,89,429,3,22,59.6,4.8,26.8
Braelon Allen,NYJ,RB,16,2,88,319,2,20,50.0,3.6,19.9
Anthony Richardson,IND,QB,11,11,86,499,6,34,58.1,5.8,45.4
Raheem Mostert,MIA,RB,12,1,85,278,2,13,37.6,3.3,23.2
Bo Nix,DEN,QB,16,16,85,383,4,36,51.8,4.5,23.9
Tyjae Spears,TEN,RB,12,1,84,312,4,19,46.4,3.7,26.0
Isiah Pacheco,KAN,RB,7,6,83,310,1,14,53.0,3.7,44.3
Isaac Guerendo,SFO,RB,15,2,82,415,4,18,48.8,5.1,27.7
Caleb Williams,CHI,QB,16,16,78,479,0,26,51.3,6.1,29.9
Kyler Murray,ARI,QB,16,16,75,550,5,25,50.7,7.3,34.4
Austin Ekeler,WAS,RB,11,6,74,355,4,18,51.4,4.8,32.3
Ezekiel Elliott,DAL,RB,15,2,74,226,3,14,43.2,3.1,15.1
Zack Moss,CIN,RB,8,6,74,242,2,13,36.5,3.3,30.3
Daniel Jones,NYG,QB,10,10,67,265,2,26,59.7,4.0,26.5
Ameer Abdullah,LVR,RB,16,3,66,311,2,14,50.0,4.7,19.4
Brock Purdy,SFO,QB,15,15,66,323,5,33,63.6,4.9,21.5
Justin Herbert,LAC,QB,16,16,65,264,2,21,46.2,4.1,16.5
Zamir White,LVR,RB,8,5,65,183,1,4,26.2,2.8,22.9
Sam Darnold,MIN,QB,16,16,64,202,1,22,42.2,3.2,12.6
Audric Estime,DEN,RB,12,1,64,276,1,12,51.6,4.3,23.0
Kenneth Gainwell,PHI,RB,16,0,64,276,1,12,28.1,4.3,17.3
Trey Benson,ARI,RB,13,1,63,291,1,16,49.2,4.6,22.4
Justin Fields,PIT,QB,10,6,62,289,5,19,54.8,4.7,28.9
Jaylen Wright,MIA,RB,14,1,62,253,0,10,41.9,4.1,18.1
D'Onta Foreman,CLE,RB,10,2,61,205,0,10,44.3,3.4,20.5
Patrick Mahomes,KAN,QB,16,16,58,307,2,22,50.0,5.3,19.2
Ty Chandler,MIN,RB,16,0,56,182,0,9,37.5,3.3,11.4
Blake Corum,LAR,RB,16,0,56,197,0,12,42.9,3.5,12.3
Trey Sermon,IND,RB,16,3,56,159,2,14,44.6,2.8,9.9
Jeremy McNichols,WAS,RB,16,1,55,261,4,15,58.2,4.7,16.3
Drake Maye,NWE,QB,12,11,54,421,2,22,64.8,7.8,35.1
Roschon Johnson,CHI,RB,13,0,53,147,6,17,56.6,2.8,11.3
C.J. Stroud,HOU,QB,16,16,52,233,0,14,38.5,4.5,14.6
