Team,Rushes,EPA-Play,Yards per Carry,TD %,First Down %,Yards after Contact,Tackle for Loss %,Explosive %
ARI,104.03,108.08,113.79,94.22,125.71,123.08,121.76,124.73
ATL,125.42,104.08,106.67,106.37,111.82,107.3,105.98,101.27
BAL,113.41,113.69,125.98,117.92,136.91,125.84,104.98,135.78
BUF,100.81,107.28,105.75,167.77,103.04,96.25,95.94,113.0
CAR,96.7,103.28,102.07,101.21,105.6,106.9,133.62,93.18
CHI,95.82,96.87,85.29,111.54,89.57,83.23,88.42,55.93
CIN,94.95,101.68,93.79,93.91,94.73,91.91,115.15,94.66
CLE,87.03,94.47,93.1,61.39,81.44,85.6,105.6,69.03
DAL,97.58,95.27,95.63,36.47,90.73,95.07,128.61,79.4
DEN,97.0,97.67,95.17,64.13,95.47,95.86,79.65,93.29
DET,135.38,108.08,111.95,171.11,118.37,106.51,121.09,137.61
GNB,123.37,104.08,107.59,130.08,111.36,108.09,101.39,127.01
HOU,120.44,96.87,95.17,110.93,92.03,103.75,61.04,116.76
IND,107.55,96.87,102.07,107.59,96.12,86.79,93.13,102.18
JAX,97.0,100.88,98.85,73.55,96.91,111.24,98.81,106.74
KAN,110.48,102.48,88.74,104.85,103.55,85.21,160.3,51.37
LAC,105.49,98.47,93.33,118.23,90.27,95.07,115.0,88.74
LAR,116.92,100.88,94.48,114.27,122.32,92.31,104.98,73.93
LVR,93.19,86.46,84.83,76.59,77.49,74.95,97.83,71.88
MIA,51.28,80.06,82.99,69.6,84.88,95.86,57.8,123.82
MIN,120.44,96.87,94.02,66.56,85.99,89.55,89.21,102.86
NOR,109.6,103.28,100.23,113.67,116.79,98.22,74.15,103.32
NWE,101.1,95.27,93.33,70.51,87.43,112.43,95.83,95.8
NYG,37.8,86.46,85.06,94.22,89.99,97.83,127.14,79.51
NYJ,92.31,96.07,94.94,77.2,87.25,101.38,108.29,93.64
PHI,126.59,109.68,124.83,98.47,93.75,100.59,116.66,131.68
PIT,119.85,97.67,93.56,44.68,94.26,110.45,98.37,108.79
SEA,44.54,100.08,100.69,159.86,103.83,107.69,112.82,97.39
SFO,105.2,100.88,108.28,84.79,94.49,104.54,100.03,120.4
TAM,115.75,107.28,119.54,92.39,112.94,112.82,116.96,120.97
TEN,103.44,97.67,97.24,86.01,89.48,99.8,92.84,90.67
WAS,49.52,111.28,111.03,179.92,115.49,93.89,115.9,94.66
