Team,Yards per Carry,Yards per Carry_Rank
ARI,113.79,4.0
ATL,106.67,9.0
BAL,125.98,1.0
BUF,105.75,10.0
CAR,102.07,11.0
CHI,85.29,29.0
CIN,93.79,23.0
CLE,93.1,27.0
DAL,95.63,17.0
DEN,95.17,18.0
DET,111.95,5.0
GNB,107.59,8.0
HOU,95.17,18.0
IND,102.07,11.0
JAX,98.85,15.0
KAN,88.74,28.0
LAC,93.33,25.0
LAR,94.48,21.0
LVR,84.83,31.0
MIA,82.99,32.0
MIN,94.02,22.0
NOR,100.23,14.0
NWE,93.33,25.0
NYG,85.06,30.0
NYJ,94.94,20.0
PHI,124.83,2.0
PIT,93.56,24.0
SEA,100.69,13.0
SFO,108.28,7.0
TAM,119.54,3.0
TEN,97.24,16.0
WAS,111.03,6.0
