Name,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per carry,Yards After Contact,TFL %,Explosive %,First Down %,Team,G,GS,1D,Y/G,Rush Yards AC,TFL Rush,Explosive Rush,First Down Rush
Saquon Barkley,RB,345,0.1,34.5,2005,13,5.81,2.58,8.7,11.3,21.2,PHI,16,16,82,125.3,890.1,30.01,38.98,73.14
Kyren Williams,RB,316,-0.07,-22.12,1299,14,4.11,2.35,8.5,6.6,26.6,LAR,16,16,85,81.2,742.6,26.86,20.86,84.06
Derrick Henry,RB,305,0.12,36.6,1783,14,5.85,3.39,7.5,12.5,29.2,BAL,16,16,89,111.4,1033.95,22.88,38.12,89.06
Josh Jacobs,RB,295,-0.06,-17.7,1285,14,4.36,2.79,9.5,8.8,22.0,GNB,16,16,68,80.3,823.05,28.02,25.96,64.9
Bijan Robinson,RB,276,0.01,2.76,1286,12,4.66,2.69,7.6,8.0,22.1,ATL,16,16,67,80.4,742.44,20.98,22.08,61.0
Jonathan Taylor,RB,269,-0.08,-21.52,1254,10,4.66,2.26,8.6,8.9,19.3,IND,13,12,59,96.5,607.94,23.13,23.94,51.92
Najee Harris,RB,251,-0.06,-15.06,1007,5,4.01,2.68,8.0,8.8,18.3,PIT,16,16,46,62.9,672.68,20.08,22.09,45.93
Chuba Hubbard,RB,250,0.04,10.0,1195,10,4.78,2.95,6.0,10.0,24.8,CAR,15,15,62,79.7,737.5,15.0,25.0,62.0
Aaron Jones,RB,245,-0.05,-12.25,1093,5,4.46,2.43,7.8,8.2,18.8,MIN,16,16,48,68.3,595.35,19.11,20.09,46.06
Joe Mixon,RB,240,-0.06,-14.4,993,11,4.14,2.57,14.6,8.8,21.0,HOU,13,13,50,76.4,616.8,35.04,21.12,50.4
Tony Pollard,RB,238,-0.09,-21.42,1017,5,4.27,2.76,9.2,9.7,21.0,TEN,15,15,50,67.8,656.88,21.9,23.09,49.98
James Conner,RB,236,0.02,4.72,1094,8,4.64,3.0,8.9,11.4,28.0,ARI,16,16,67,68.4,708.0,21.0,26.9,66.08
