Team,Rushes,EPA-Play,Yards per Carry,TD %,First Down %,Yards after Contact,Tackle for Loss %,Explosive %
ARI,355,0.04,4.95,3.1,27.06,3.12,7.32,10.95
ATL,428,-0.01,4.64,3.5,24.07,2.72,8.41,8.89
BAL,387,0.11,5.48,3.88,29.47,3.19,8.49,11.92
BUF,344,0.03,4.6,5.52,22.18,2.44,9.29,9.92
CAR,330,-0.02,4.44,3.33,22.73,2.71,6.67,8.18
CHI,327,-0.1,3.71,3.67,19.28,2.11,10.08,4.91
CIN,324,-0.04,4.08,3.09,20.39,2.33,7.74,8.31
CLE,297,-0.13,4.05,2.02,17.53,2.17,8.44,6.06
DAL,333,-0.12,4.16,1.2,19.53,2.41,6.93,6.97
DEN,331,-0.09,4.14,2.11,20.55,2.43,11.19,8.19
DET,462,0.04,4.87,5.63,25.48,2.7,7.36,12.08
GNB,421,-0.01,4.68,4.28,23.97,2.74,8.79,11.15
HOU,411,-0.1,4.14,3.65,19.81,2.63,14.6,10.25
IND,367,-0.1,4.44,3.54,20.69,2.2,9.57,8.97
JAX,331,-0.05,4.3,2.42,20.86,2.82,9.02,9.37
KAN,377,-0.03,3.86,3.45,22.29,2.16,5.56,4.51
LAC,360,-0.08,4.06,3.89,19.43,2.41,7.75,7.79
LAR,399,-0.05,4.11,3.76,26.33,2.34,8.49,6.49
LVR,318,-0.23,3.69,2.52,16.68,1.9,9.11,6.31
MIA,175,-0.31,3.61,2.29,18.27,2.43,15.42,10.87
MIN,411,-0.1,4.09,2.19,18.51,2.27,9.99,9.03
NOR,374,-0.02,4.36,3.74,25.14,2.49,12.02,9.07
NWE,345,-0.12,4.06,2.32,18.82,2.85,9.3,8.41
NYG,129,-0.23,3.7,3.1,19.37,2.48,7.01,6.98
NYJ,315,-0.11,4.13,2.54,18.78,2.57,8.23,8.22
PHI,432,0.06,5.43,3.24,20.18,2.55,7.64,11.56
PIT,409,-0.09,4.07,1.47,20.29,2.8,9.06,9.55
SEA,152,-0.06,4.38,5.26,22.35,2.73,7.9,8.55
SFO,359,-0.05,4.71,2.79,20.34,2.65,8.91,10.57
TAM,395,0.03,5.2,3.04,24.31,2.86,7.62,10.62
TEN,353,-0.09,4.23,2.83,19.26,2.53,9.6,7.96
WAS,169,0.08,4.83,5.92,24.86,2.38,7.69,8.31
